id	importance	Cumulative Avg Decrease	Cumulative Avg Increase	Net Avg Change	Global Variance	Global Mean	Global Median	Global Standard Deviation	Global CV (%)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__	0.004833018229068176	-0.0258091935188592	0.0321055777452399	0.00629638422638065	0.000255086189142246	0.00530269210588867	0.0012853470437018	0.0159714178813982	3.01194517095606
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus	0.004495964057361628	-0.00514763609287194	0.00926681838627999	0.00411918229340805	2.44585562539312e-05	0.000674964311254024	0	0.00494555924582157	7.32714184048213
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__	0.0044692491636780475	-0.0639437203116047	0.0545602221112657	-0.00938349820033903	0.00371064211937183	0.0154542207281125	0	0.0609150401737685	3.94164424369577
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;__	0.004350471647102932	-0.0062195996857857	0.00612140519396584	-9.81944918198611e-05	1.70646838745486e-05	0.000904701363385461	0	0.0041309422502074	4.56608381217543
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	0.004258589621327728	-0.0464563323001526	0.112642497495696	0.0661861651955431	0.00300807187346013	0.0234583965702143	0	0.0548458920381475	2.33800685711771
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	0.00425322946786493	-0.0455273736854204	0.0630956455385911	0.0175682718531708	0.000623593099844647	0.0147293026297694	0.00541665290484526	0.0249718461441009	1.69538550274812
k__Bacteria;__;__;__;__;__	0.004204187356945706	-0.00552380819018929	0.00219347764864215	-0.00333033054154714	5.61427162075805e-06	0.000499104357744163	0	0.00236944542472665	4.74739478420104
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella	0.004050986128024504	-0.0200046509815992	0.0293177840200236	0.00931313303842438	0.000276360181403759	0.00863441798711643	0	0.0166240843779066	1.92532772940941
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.003966454154171455	-0.0702460770212216	0.0920760502076589	0.0218299731864373	0.00190852290302217	0.00697782131253409	0	0.043686644446812	6.26078577970157
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister	0.0038219971288032586	-0.0194608578592773	0.0230213440718043	0.00356048621252697	0.000104284894835038	0.00311832153293334	0	0.0102119975927846	3.27483791678735
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__	0.0038186480925592055	-0.0154037894755254	0.0268724030449947	0.0114686135694693	0.00027454457445503	0.0031299725722992	0	0.0165693866650226	5.29378014736122
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.0036619298353400094	-0.0489345233835912	0.0484872820392738	-0.000447241344317388	0.00128960140367208	0.0110672840390888	0.000927597272362615	0.0359110206436977	3.2447907288602
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.0033757298354451255	-0.0240348078789861	0.0313337726879873	0.00729896480900123	0.000179617807543352	0.0034134371843585	0	0.0134021568243082	3.92629367422414
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	0.00328440629455194	-0.0925317659083932	0.094091338268693	0.00155957236029985	0.00160208219247205	0.0115113703151444	0	0.0400260189435828	3.4770855117852
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.002788087841295726	-0.0161159856114025	0.00865241898220154	-0.00746356662920101	0.000128363871484974	0.00308028905817376	0	0.0113297780863075	3.67815418369364
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	0.0026887792541538647	-0.00114756973414026	0.0011460889698161	-1.48076432415203e-06	7.76724740673457e-07	0.00010410904766138	0	0.000881319885554307	8.46535344767385
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.002661302480301308	-0.00164876158848762	0.000550589316528102	-0.00109817227195952	7.48359942272467e-07	0.000134128064942864	0	0.000865077997797	6.4496419758647
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter	0.0026223235014137362	-0.0046261843096896	0.00479479804707739	0.000168613737387793	8.65385025523834e-06	0.000292340199588315	0	0.0029417427241753	10.0627376197936
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.002380432614403193	-0.0120985943098588	0.00810139406733447	-0.00399720024252431	7.98856453719967e-05	0.00108847394191296	0	0.00893787700586648	8.21138353588734
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	0.0023347890969749397	-0.00055594706952664	0.000838660944190544	0.000282713874663904	1.04712304605202e-07	7.66777000015604e-05	0	0.000323592806788411	4.2201684033536
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.002300239449096295	-0.013445437305181	0.01038416524318	-0.00306127206200102	0.000269027646828014	0.00187889729490601	0	0.0164020622736293	8.72962152752997
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0.0021845030709886372	-0.00261619695863125	0.00522564981241811	0.00260945285378685	9.47852209715636e-06	0.00124179496535897	0	0.00307872085404902	2.47925055257335
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium	0.002114402340310681	-0.0040674455061247	0.00475992365066359	0.000692478144538888	8.19657620420746e-06	0.000751697978379395	0	0.00286296632956231	3.8086657299979
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.002106367948184431	-0.0265953682682342	0.0105511890540244	-0.0160441792142099	0.000480310195282292	0.00207641413977307	0	0.0219159803632485	10.5547250634903
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0019099362430078965	-0.0194612300314387	0.0133369652471038	-0.00612426478433496	0.000333634839173496	0.00280093066620277	0	0.0182656737946755	6.52128737604147
k__Bacteria;p__Firmicutes;__;__;__;__	0.001887164733692613	-0.00211672332934859	0.00204375690566209	-7.29664236864967e-05	2.28041453823253e-06	0.000244790560988722	0	0.00151010414814096	6.16896395858389
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__	0.0018200971479231855	-0.00417195193823082	1.44436139513937e-05	-0.00415750832427943	1.68097862501641e-05	0.000353635146476235	0	0.00409997393286397	11.5937965264985
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0.0016918053463768428	-0.0014001380054742	0.00221396508714161	0.000813827081667412	2.28900745104355e-06	0.000306720665994043	0	0.00151294661209296	4.93265299613799
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0015467090844055772	-0.0011441859888367	0.000189667737292268	-0.000954518251544435	4.05974230475775e-07	0.000105002880717066	0	0.000637161071061137	6.06803419782347
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0015246047491160328	-0.00211009096213576	0.00199128128949617	-0.00011880967263959	3.78364716139162e-06	0.000163035411884694	0	0.00194515993208569	11.9309045169978
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.001481378227536122	-0.00238538715736273	0.00233112798105006	-5.42591763126711e-05	1.78600629135207e-05	0.000202008239382936	0	0.00422611676524923	20.9205167975253
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.001439816729290372	-0.000888955459319036	0.000871030579060646	-1.79248802583901e-05	2.79465529931546e-07	0.000203154873847382	0	0.000528644994236724	2.60217726616721
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	0.0013759854964161087	-0.00104221205884323	0.00104221205884323	0	1.88755256551808e-06	5.71544807160801e-05	0	0.00137388229682098	24.038050553654
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.00129017746280057	-0.00827501091267419	0.00895413739265399	0.000679126479979794	4.77732398224737e-05	0.00172116679437166	0	0.00691181885052507	4.01577515504437
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.0011259524413181024	-0.00410957876197303	0.0040695249619907	-4.00537999823286e-05	2.05777590740974e-05	0.000557092090835397	0	0.00453627149475176	8.14276772077184
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas	0.0011252702378859475	-0.0200781713085789	0.0187821656055453	-0.00129600570303355	0.000297966086830396	0.00217661634055761	0	0.0172616942051004	7.9305176036114
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera	0.001090509432431804	-0.0335084602565647	0.0330196811044344	-0.000488779152130289	0.00077045691747919	0.00427897085039188	0	0.0277571057114965	6.48686487521979
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	0.0010841471237902445	-0.00046213206933916	0.000836968493982896	0.000374836424643736	2.1875083229662e-07	9.22494770038041e-05	0	0.00046770806310841	5.07003484788453
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0010376249502719104	-0.00735304158647199	0.00717268998701943	-0.000180351599452558	3.54688177440177e-05	0.000580113573086961	0	0.00595557031223859	10.2662143906532
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__	0.000963883614178989	-0.00727354068960529	0.00754000954708535	0.000266468857480061	1.13889027539894e-05	0.000360380196017097	0	0.00337474484279766	9.36440148514031
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Acidaminococcus	0.0009358789362863595	-0.0108980444334837	0.0107918839669076	-0.000106160466576102	6.56663260447344e-05	0.00144564812556653	0	0.00810347617043046	5.60542778503228
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	0.0008322837783761344	-0.00145534109212553	0.00156220179237134	0.00010686070024581	1.45935704493666e-06	0.000207234554333275	0	0.00120803851136322	5.82932955003466
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0.0005351959759305723	-0.000297906946384294	0.000357465493991758	5.95585476074636e-05	9.56988217431983e-08	4.40841816214017e-05	0	0.000309352261577636	7.01730757382267
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0.0004937088042815113	-0.0012677720657304	0.00467368827447776	0.00340591620874736	6.66828270588401e-06	0.000326954205738555	0	0.00258230182315778	7.89805354338426
